,ID,E_Brent,PP,BR,AR,WO,NW,opt_C,opt_I,capex_h,opex_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
51,51,50,0.5700000000000001,0,1,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,50,0.5700000000000001,0,1,0,1,1,1,0.9,1,1,0,-17752.3613,0,-10656.2104,-10656.2104,0.0,307102.9882,0,688240.1851,0.0,7.218477201642002,7.218477201642002,0.0,6.585277447112001,6.585277447112001,2040.0,2040.0,16.1925,16.1925,20.5939,18.7874,39398.0932,92801.3929,1351.3258,118539.2489,2740.7983,43186.3713,92801.3929,1864.9015,129937.2536,2740.7983
53,53,50,0.5700000000000001,0,1,0,1,1,0,0.9,1,1,0,-9007.4213,0,-5524.8017,-5524.8017,0.0,145004.5882,0,329863.3934,0.0,3.157655308198001,3.157655308198001,0.0,2.8806680004613336,2.8806680004613336,2038.0,2038.0,15.5578,15.5578,22.2289,20.279,18232.7827,45439.1487,411.7255,56977.3919,1901.1562,19985.9349,45439.1487,654.5491,62455.9873,1901.1562
54,54,50,0.5700000000000001,0,1,0,1,0,1,0.9,1,1,0,-8417.9409,0,-4730.1571,-4730.1571,0.0,162098.4,0,362565.7667,0.0,4.114199544679001,4.114199544679001,0.0,3.753304847777333,3.753304847777333,2042.0,2042.0,16.7153,16.7153,19.0719,17.3989,21103.1076,47362.2442,663.9789,61677.9971,966.6073,23132.2526,47362.2442,877.6267,67608.5737,966.6073
55,55,50,0.5700000000000001,0,1,0,1,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,50,0.5700000000000001,1,0,1,0,1,1,0.9,1,1,0,73852.6224,0,87197.5045,87197.5045,1.9671892526565808,144552.5415,0,79338.8021,0.0,7.848187439586412,7.848187439586412,0.0,7.159749944885849,7.159749944885849,2055.0,2055.0,4.7993,4.7993,8.9157,8.1336,13117.9324,59723.9633,24540.2943,171234.8124,0,14379.272,59723.9633,30290.9064,191591.6462,0
57,57,50,0.5700000000000001,1,0,1,0,1,0,0.9,1,1,0,50144.501,0,59246.1554,59246.1554,1.9393683512846491,100167.2636,0,58856.7432,0.0,5.454693949364918,5.454693949364918,0.0,4.976212023982029,4.976212023982029,2054.0,2054.0,4.9319,4.9319,8.8891,8.1093,9150.6319,41248.0006,16826.1812,117369.3148,0,10030.5004,41248.0006,20748.9103,131273.5667,0
58,58,50,0.5700000000000001,1,0,1,0,0,1,0.9,1,1,0,23712.8601,0,27956.0694,27956.0694,2.029328818594151,44385.2778,0,24671.034,0.0,2.394132787441032,2.394132787441032,0.0,2.1841211394198887,2.1841211394198887,2072.0,2072.0,4.4863,4.4863,8.9741,8.1869,3963.4061,18475.9627,7709.8616,53862.0906,0,4344.5029,18475.9627,9537.8099,60314.3448,0
59,59,50,0.5700000000000001,1,0,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,50,0.5700000000000001,1,0,0,1,1,1,0.9,1,1,0,43129.676,0,52688.9567,52688.9567,1.131832844110792,145966.8301,0,348862.8956,0.0,6.578529934191001,6.578529934191001,0.0,6.001465904876,6.001465904876,2039.0,2039.0,10.3934,10.3934,10.7405,9.7984,29863.8815,60278.9315,11546.4892,146305.8777,1486.8994,32735.4086,60278.9315,15536.7953,162726.9915,1486.8994
