,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b
20,20,30,2.5,700,304,0,373426.3912,0,150477.8114,150477.8114,3.445942640367332,316409.8722,0,502504.336,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.1982,6.1982,3.9028,1.8733
21,21,35,2.5,700,304,0,373426.3912,0,216530.3688,216530.3688,4.9130198458069145,316409.8722,0,502504.336,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.1982,6.1982,3.9028,1.8733
22,22,40,2.5,700,304,0,373426.3912,0,282545.316,282545.316,6.380097051246498,316409.8722,0,502504.336,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.1982,6.1982,3.9028,1.8733
23,23,45,2.5,700,304,0,373426.3912,0,348531.9643,348531.9643,7.847174256686077,316409.8722,0,502504.336,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.1982,6.1982,3.9028,1.8733
24,24,50,2.5,700,304,0,373426.3912,0,414518.6125,414518.6125,9.314251462125656,316409.8722,0,502504.336,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.1982,6.1982,3.9028,1.8733
25,25,55,2.5,700,304,0,373426.3912,0,480505.2608,480505.2608,10.78132866756524,316409.8722,0,502504.336,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.1982,6.1982,3.9028,1.8733
26,26,60,2.5,700,304,0,373426.3912,0,546491.9091,546491.9091,12.248405873004819,316409.8722,0,502504.336,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.1982,6.1982,3.9028,1.8733
27,27,20,2.5,700,364,0,365286.4921,0,8704.8417,8704.8417,0.3309984371371022,316409.8722,0,536673.4361,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.6197,6.6197,3.9028,1.8733
28,28,25,2.5,700,364,0,365286.4921,0,76025.3381,76025.3381,1.7980756425766826,316409.8722,0,536673.4361,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.6197,6.6197,3.9028,1.8733
29,29,30,2.5,700,364,0,365286.4921,0,142311.9261,142311.9261,3.265152848016265,316409.8722,0,536673.4361,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.6197,6.6197,3.9028,1.8733
