,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,BE_F,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
27,27,40,0,0.555,1,0,1,1,1,0,0,1,0,0,26.526393864073,0,32483.0505,0,0,0,4.1307060115340357e-10,65159.0135,0,46162.5384,0.0,2.8912658908750006,2.8912658908750006
28,28,40,0,0.555,1,0,1,1,1,0,0,0,1,1,26.489850495255794,0,52823.3746,0,0,0,0.0,111779.6624,0,61184.4953,0.0,4.564615976875,4.564615976875
29,29,40,0,0.555,1,0,1,1,1,0,0,0,1,0,25.704944366212036,0,34998.8821,0,0,0,3.3204772977519565e-10,69666.7096,0,35302.6821,0.0,2.9248515683375,2.9248515683375
30,30,40,0,0.555,1,0,1,1,1,0,0,0,0,1,26.75867033991348,0,37683.3627,0,0,0,9.520601726275089e-11,79648.0755,0,49525.8367,0.0,3.265581322975,3.265581322975
31,31,40,0,0.555,1,0,1,1,1,0,0,0,0,0,25.597424778123397,0,19815.6113,0,0,0,1.0315470904113564e-09,37535.1227,0,23644.0235,0.0,1.673960044875,1.673960044875
32,32,40,0,0.555,1,0,1,1,0,1,1,1,1,1,27.05821353115273,0,100796.4734,0,0,0,4.2643021528796346e-10,220534.6058,0,130441.4414,0.0,9.023340925775003,9.023340925775003
33,33,40,0,0.555,1,0,1,1,0,1,1,1,1,0,26.866645129916133,0,82979.1037,0,0,0,6.293236706900199e-10,178421.653,0,104559.6282,0.0,7.4025316288,7.4025316288
34,34,40,0,0.555,1,0,1,1,0,1,1,1,0,1,27.241638882681688,0,85713.1429,0,0,0,5.071489718348494e-10,188403.0189,0,118782.7828,0.0,7.791159735750003,7.791159735750003
35,35,40,0,0.555,1,0,1,1,0,1,1,1,0,0,27.069787535703707,0,67845.0117,0,0,0,4.758030026929632e-10,146290.066,0,92900.9696,0.0,6.170350438775002,6.170350438775002
36,36,40,0,0.555,1,0,1,1,0,1,1,0,1,1,26.915642286836196,0,88228.4148,0,0,0,3.0436882280156005e-10,192910.715,0,107922.9264,0.0,7.887996249525001,7.887996249525001
37,37,40,0,0.555,1,0,1,1,0,1,1,0,1,0,26.65851541694893,0,70352.6619,0,0,0,6.306974552544516e-10,150797.7622,0,82041.1132,0.0,6.248231840987501,6.248231840987501
38,38,40,0,0.555,1,0,1,1,0,1,1,0,0,1,27.143758098197754,0,73082.2353,0,0,0,7.389114466275995e-10,160779.128,0,96264.2679,0.0,6.544665870875,6.544665870875
39,39,40,0,0.555,1,0,1,1,0,1,1,0,0,0,26.90053814368587,0,55187.2563,0,0,0,6.214876021440909e-10,118666.1752,0,70382.4547,0.0,4.9238565739,4.9238565739
40,40,40,0,0.555,1,0,1,1,0,1,0,1,1,1,27.18973850180713,0,68013.9029,0,0,0,6.146898038769987e-10,151013.7281,0,88171.7074,0.0,6.1152367173875,6.1152367173875
41,41,40,0,0.555,1,0,1,1,0,1,0,1,1,0,26.904701497221254,0,50173.5837,0,0,0,0.0,108900.7753,0,62289.8942,0.0,4.5600630709125,4.5600630709125
42,42,40,0,0.555,1,0,1,1,0,1,0,1,0,1,27.530035236138943,0,52905.4428,0,0,0,3.355201947469179e-10,118882.1411,0,76513.0488,0.0,4.883055527362502,4.883055527362502
43,43,40,0,0.555,1,0,1,1,0,1,0,1,0,0,27.357946101464837,0,34976.4899,0,0,0,0.0,76769.1883,0,50631.2356,0.0,3.262246230387501,3.262246230387501
44,44,40,0,0.555,1,0,1,1,0,1,0,0,1,1,27.016731000883368,0,55361.8096,0,0,0,3.3479167655047986e-10,123389.8373,0,65653.1924,0.0,4.939446423075,4.939446423075
45,45,40,0,0.555,1,0,1,1,0,1,0,0,1,0,26.587964380668772,0,37520.9458,0,0,0,0.0,81276.8844,0,39771.3792,0.0,3.2996820145375,3.2996820145375
