,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
27,27,30,0,0.52,1,0,1,1,1,0,0,1,0,0,0,7750.3291,0,-20054.1241,-20054.1241,0.0,65159.0135,689121.12,732930.9281,0.0,1.8417524666666667,1.8417524666666667
28,28,30,0,0.52,1,0,1,1,1,0,0,0,1,1,0,7750.3291,0,-20054.1241,-20054.1241,0.0,111779.6624,689121.12,745222.7332,0.0,3.3693158893333335,3.3693158893333335
29,29,30,0,0.52,1,0,1,1,1,0,0,0,1,0,0,10094.8477,0,-18124.193,-18124.193,0.0,69666.7096,689121.12,720641.7778,0.0,1.9655652947666666,1.9655652947666666
30,30,30,0,0.52,1,0,1,1,1,0,0,0,0,1,0,13329.8175,0,-19445.7594,-19445.7594,0.0,79648.0755,689121.12,735121.5525,0.0,2.2567019375333333,2.2567019375333333
31,31,30,0,0.52,1,0,1,1,1,0,0,0,0,0,0,-3638.7436,0,-17223.8299,-17223.8299,0.0,37535.1227,689121.12,710540.5971,0.0,0.8225021423666667,0.8225021423666667
32,32,30,0,0.52,1,0,1,1,0,1,1,1,1,1,0,79944.044,0,-18634.5676,-18634.5676,0.0,220534.6058,689121.12,813924.0583,0.0,7.7238509460666664,7.7238509460666664
33,33,30,0,0.52,1,0,1,1,0,1,1,1,1,0,0,60824.3419,0,-19113.1483,-19113.1483,0.0,178421.653,689121.12,789343.1029,0.0,6.308751136133333,6.308751136133333
34,34,30,0,0.52,1,0,1,1,0,1,1,1,0,1,0,64210.0898,0,-20231.4545,-20231.4545,0.0,188403.0189,689121.12,803822.8776,0.0,6.654826102166668,6.654826102166668
35,35,30,0,0.52,1,0,1,1,0,1,1,1,0,0,0,45024.9138,0,-20781.3972,-20781.3972,0.0,146290.066,689121.12,779241.9222,0.0,4.996056149066668,4.996056149066668
36,36,30,0,0.52,1,0,1,1,0,1,1,0,1,1,0,66120.2875,0,-18782.4343,-18782.4343,0.0,192910.715,689121.12,791533.7272,0.0,6.689059257400001,6.689059257400001
37,37,30,0,0.52,1,0,1,1,0,1,1,0,1,0,0,46936.7391,0,-19247.5677,-19247.5677,0.0,150797.7622,689121.12,766952.7718,0.0,5.050466942300001,5.050466942300001
38,38,30,0,0.52,1,0,1,1,0,1,1,0,0,1,0,50335.1154,0,-20373.4682,-20373.4682,0.0,160779.128,689121.12,781432.5465,0.0,5.386287488833334,5.386287488833334
39,39,30,0,0.52,1,0,1,1,0,1,1,0,0,0,0,31132.3515,0,-20607.625,-20607.625,0.0,118666.1752,689121.12,756851.5911,0.0,3.8070889714000002,3.8070889714000002
40,40,30,0,0.52,1,0,1,1,0,1,0,1,1,1,0,44939.1906,0,-20936.7117,-20936.7117,0.0,151013.7281,689121.12,772724.7361,0.0,4.998120926066667,4.998120926066667
41,41,30,0,0.52,1,0,1,1,0,1,0,1,1,0,0,25760.129,0,-21097.5328,-21097.5328,0.0,108900.7753,689121.12,748143.7807,0.0,3.429176669966668,3.429176669966668
42,42,30,0,0.52,1,0,1,1,0,1,0,1,0,1,0,29169.6964,0,-22255.1616,-22255.1616,0.0,118882.1411,689121.12,762623.5554,0.0,3.752952034,3.752952034
43,43,30,0,0.52,1,0,1,1,0,1,0,1,0,0,0,10169.7174,0,-21997.5882,-21997.5882,0.0,76769.1883,689121.12,738042.6,0.0,2.0543695782999998,2.0543695782999998
44,44,30,0,0.52,1,0,1,1,0,1,0,0,1,1,0,31162.622,0,-20725.8006,-20725.8006,0.0,123389.8373,689121.12,750334.4051,0.0,3.603155425566667,3.603155425566667
45,45,30,0,0.52,1,0,1,1,0,1,0,0,1,0,0,12278.5937,0,-20067.6572,-20067.6572,0.0,81276.8844,689121.12,725753.4497,0.0,2.1781824064000004,2.1781824064000004
