company,trabajo,Arena,riesgo,Escenario,estado,variable, valores ,Valor_MUSD
ECP,II,AYB,BR,E2,Opex,Oil,268917,0.03
ECP,II,AYB,BR,E2,Opex,Fluido,48527051,4.85
ECP,II,AYB,BR,E2,Opex,Gas,0,0
ECP,II,AYB,BR,E2,Opex,inyeccion_agua,184894892,18.49
ECP,II,AYB,BR,E2,Opex,pozo_prod,275647400,27.56
ECP,II,AYB,BR,E2,Opex,Pozo_iny,114822015,11.48
ECP,III,AYB,BR,E3,Capex,Capex_Total,1161653160,1162
ECP,III,AYB,BR,E3,Capex,WO,0,0
ECP,III,AYB,BR,E3,Capex,Perforacion_productores,653801203,65.38
ECP,III,AYB,BR,E3,Capex,Perforacion_Inyectores,471589254,47.16
ECP,III,AYB,BR,E3,Capex,Facilidades,36262702,3.63
ECP,III,AYB,BR,E3,Capex,VPN_Portafolio,-83808.272,-83.808272
ECP,III,AYB,BR,E3,Opex,Opex_Total,1513793229,1514
ECP,III,AYB,BR,E3,Opex,Oil,657549,0.07
ECP,III,AYB,BR,E3,Opex,Fluido,93265886,9.33
ECP,III,AYB,BR,E3,Opex,Gas,0,0
ECP,III,AYB,BR,E3,Opex,inyeccion_agua,342934602,34.29
ECP,III,AYB,BR,E3,Opex,pozo_prod,796647500,79.66
ECP,III,AYB,BR,E3,Opex,Pozo_iny,280287693,28.03
ECP,IV,AYB,BR,E4,Capex,Capex_Total,759478185,759
ECP,IV,AYB,BR,E4,Capex,WO,0,0
ECP,IV,AYB,BR,E4,Capex,Perforacion_productores,408130448,40.81
ECP,IV,AYB,BR,E4,Capex,Perforacion_Inyectores,329591385,32.96
ECP,IV,AYB,BR,E4,Capex,Facilidades,21756352,2.18
ECP,IV,AYB,BR,E4,Capex,VPN_Portafolio,-78957.466,-78.957466
ECP,IV,AYB,BR,E4,Opex,Opex_Total,837942606,838
ECP,IV,AYB,BR,E4,Opex,Oil,329157,0.03
ECP,IV,AYB,BR,E4,Opex,Fluido,53709043,5.37
ECP,IV,AYB,BR,E4,Opex,Gas,0,0
ECP,IV,AYB,BR,E4,Opex,inyeccion_agua,177406558,17.74
ECP,IV,AYB,BR,E4,Opex,pozo_prod,436106200,43.61
ECP,IV,AYB,BR,E4,Opex,Pozo_iny,170391648,17.04
ECP,WO,C,BR,WO_BR,n_pozo,#_pozo,352,352
ECP,Perf,C,BR,Perforacion_BR,n_pozo,#_pozo,89,89
ECP,WO,C,AR,WO_AR,n_pozo,#_pozo,247,247
ECP,Perf,C,AR,Perforacion_AR,n_pozo,#_pozo,284,284
ECP,CEOR,C,BR,CEOR,n_pozo,#_pozo,408,408
ECP,I,AYB,BR,E1,n_pozo,#_pozo,138,138
ECP,II,AYB,BR,E2,n_pozo,#_pozo,289,289
ECP,III,AYB,BR,E3,n_pozo,#_pozo,859,859
ECP,IV,AYB,BR,E4,n_pozo,#_pozo,562,562
ECP,WO,C,BR,WO_BR,Vol,Vol,5.1262,5.1262
ECP,Perf,C,BR,Perforacion_BR,Vol,Vol,4.487015,4.487015
ECP,WO,C,AR,WO_AR,Vol,Vol,6.563855,6.563855
ECP,Perf,C,AR,Perforacion_AR,Vol,Vol,9.490951,9.490951
ECP,CEOR,C,BR,CEOR,Vol,Vol,38.701589,38.701589
ECP,I,AYB,BR,E1,Vol,Vol,29.922283,29.922283
ECP,II,AYB,BR,E2,Vol,Vol,10.652416,10.652416
ECP,III,AYB,BR,E3,Vol,Vol,27.626245,27.626245
ECP,IV,AYB,BR,E4,Vol,Vol,13.96473,13.96473
OXY,WO,C,BR,WO_BR,Capex,Capex_Total,134000000,134
OXY,WO,C,BR,WO_BR,Capex,WO,116281926,11.63
OXY,WO,C,BR,WO_BR,Capex,Perforacion_productores,0,0
OXY,WO,C,BR,WO_BR,Capex,Perforacion_Inyectores,0,0
OXY,WO,C,BR,WO_BR,Capex,Facilidades,17699532,1.77
OXY,WO,C,BR,WO_BR,Capex,VPN_Portafolio,51052.88,51.05
OXY,WO,C,BR,WO_BR,Opex,Opex_Total,11284636,11
OXY,WO,C,BR,WO_BR,Opex,Oil,22852,0
OXY,WO,C,BR,WO_BR,Opex,Fluido,7044637,0.7
OXY,WO,C,BR,WO_BR,Opex,Gas,891571,0.09
OXY,WO,C,BR,WO_BR,Opex,inyeccion_agua,3325576,0.33
OXY,WO,C,BR,WO_BR,Opex,pozo_prod,0,0
OXY,WO,C,BR,WO_BR,Opex,Pozo_iny,0,0
OXY,Perf,C,BR,Perforacion_BR,Capex,Capex_Total,124000000,124
OXY,Perf,C,BR,Perforacion_BR,Capex,WO,0,0
OXY,Perf,C,BR,Perforacion_BR,Capex,Perforacion_productores,82366339,8.24
