,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
26,26,20,0,0.52,1,0,1,1,1,0,0,1,0,1,0,41276.2693,0,-27612.8458,-27612.8458,0.0,107271.9663,209877.2954,278268.059,0.0,3.4978289584333337,3.4978289584333337
27,27,20,0,0.52,1,0,1,1,1,0,0,1,0,0,0,23573.6744,0,-19198.4174,-19198.4174,0.0,65159.0135,209877.2954,253687.1036,0.0,2.0306292066666667,2.0306292066666667
28,28,20,0,0.52,1,0,1,1,1,0,0,0,1,1,0,43409.6521,0,-26890.701,-26890.701,0.0,111779.6624,209877.2954,265978.9087,0.0,3.574028159,3.574028159
29,29,20,0,0.52,1,0,1,1,1,0,0,0,1,0,0,25612.816,0,-18439.2792,-18439.2792,0.0,69666.7096,209877.2954,241397.9532,0.0,2.1300982035666665,2.1300982035666665
30,30,20,0,0.52,1,0,1,1,1,0,0,0,0,1,0,28560.2559,0,-21655.0826,-21655.0826,0.0,79648.0755,209877.2954,255877.7279,0.0,2.4393836029333333,2.4393836029333333
31,31,20,0,0.52,1,0,1,1,1,0,0,0,0,0,0,10846.6214,0,-12946.3227,-12946.3227,0.0,37535.1227,209877.2954,231296.7725,0.0,0.9785261252,0.9785261252
32,32,20,0,0.52,1,0,1,1,0,1,1,1,1,1,0,91247.0411,0,-48460.0695,-48460.0695,0.0,220534.6058,209877.2954,334680.2338,0.0,7.7238509460666664,7.7238509460666664
33,33,20,0,0.52,1,0,1,1,0,1,1,1,1,0,0,73527.8143,0,-40168.6497,-40168.6497,0.0,178421.653,209877.2954,310099.2784,0.0,6.308751136133333,6.308751136133333
34,34,20,0,0.52,1,0,1,1,0,1,1,1,0,1,0,76478.9723,0,-43422.0946,-43422.0946,0.0,188403.0189,209877.2954,324579.053,0.0,6.654826102166668,6.654826102166668
35,35,20,0,0.52,1,0,1,1,0,1,1,1,0,0,0,58697.3181,0,-35280.7627,-35280.7627,0.0,146290.066,209877.2954,299998.0976,0.0,4.996056149066668,4.996056149066668
36,36,20,0,0.52,1,0,1,1,0,1,1,0,1,1,0,78536.4495,0,-42741.9695,-42741.9695,0.0,192910.715,209877.2954,312289.9027,0.0,6.689059257400001,6.689059257400001
37,37,20,0,0.52,1,0,1,1,0,1,1,0,1,0,0,60756.3471,0,-34584.4183,-34584.4183,0.0,150797.7622,209877.2954,287708.9473,0.0,5.050466942300001,5.050466942300001
38,38,20,0,0.52,1,0,1,1,0,1,1,0,0,1,0,63719.5459,0,-37813.4983,-37813.4983,0.0,160779.128,209877.2954,302188.722,0.0,5.386287488833334,5.386287488833334
39,39,20,0,0.52,1,0,1,1,0,1,1,0,0,0,0,45922.7099,0,-29469.06,-29469.06,0.0,118666.1752,209877.2954,277607.7666,0.0,4.0207159889,4.0207159889
