,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
0,0,40,0,0.555,1,0,1,1,1,1,1,1,1,1,0,130632.4942,0,81850.8401,81850.8401,0.792099793541284,258069.7285,0,146222.4154,0.0,11.009515573612502,11.009515573612502
1,1,40,0,0.555,1,0,1,0,1,1,1,1,1,1,0,84653.3927,0,60176.014,60176.014,1.108173068464344,133981.4573,0,13206.6668,0.0,5.946991862600001,5.946991862600001
2,2,40,0,0.555,1,0,0,1,1,1,1,1,1,1,0,47404.7607,0,23208.6411,23208.6411,0.4733366199418651,124088.2712,0,133015.7486,0.0,5.1335721423875,5.1335721423875
3,3,40,0,0.555,0,1,1,1,1,1,1,1,1,1,0,117323.3039,0,48696.09,48696.09,0.34193570814113927,465205.8346,0,473127.3417,0.0,17.967097439237502,17.967097439237502
4,4,40,0,0.555,0,1,1,0,1,1,1,1,1,1,0,112238.6883,0,81349.0562,81349.0562,2.3304510893228927,94775.9959,0,63337.9168,0.0,7.5133760697,7.5133760697
5,5,40,0,0.555,0,1,0,1,1,1,1,1,1,1,0,5444.5647,0,-32325.9534,-32325.9534,0.0,370429.8387,0,409789.4249,0.0,10.478088282862501,10.478088282862501
