,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,BE_F,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
35,35,40,0,0.555,1,0,1,1,0,1,1,1,0,0,27.06978754,0,67845.0117,0,0,0,4.76E-10,146290.066,0,92900.9696,0,6.170350439,6.170350439
36,36,40,0,0.555,1,0,1,1,0,1,1,0,1,1,26.91564229,0,88228.4148,0,0,0,3.04E-10,192910.715,0,107922.9264,0,7.88799625,7.88799625
37,37,40,0,0.555,1,0,1,1,0,1,1,0,1,0,26.65851542,0,70352.6619,0,0,0,6.31E-10,150797.7622,0,82041.1132,0,6.248231841,6.248231841
38,38,40,0,0.555,1,0,1,1,0,1,1,0,0,1,27.1437581,0,73082.2353,0,0,0,7.39E-10,160779.128,0,96264.2679,0,6.544665871,6.544665871
39,39,40,0,0.555,1,0,1,1,0,1,1,0,0,0,26.90053814,0,55187.2563,0,0,0,6.21E-10,118666.1752,0,70382.4547,0,4.923856574,4.923856574
40,40,40,0,0.555,1,0,1,1,0,1,0,1,1,1,27.1897385,0,68013.9029,0,0,0,6.15E-10,151013.7281,0,88171.7074,0,6.115236717,6.115236717
41,41,40,0,0.555,1,0,1,1,0,1,0,1,1,0,26.9047015,0,50173.5837,0,0,0,0,108900.7753,0,62289.8942,0,4.560063071,4.560063071
42,42,40,0,0.555,1,0,1,1,0,1,0,1,0,1,27.53003524,0,52905.4428,0,0,0,3.36E-10,118882.1411,0,76513.0488,0,4.883055527,4.883055527
43,43,40,0,0.555,1,0,1,1,0,1,0,1,0,0,27.3579461,0,34976.4899,0,0,0,0,76769.1883,0,50631.2356,0,3.26224623,3.26224623
44,44,40,0,0.555,1,0,1,1,0,1,0,0,1,1,27.016731,0,55361.8096,0,0,0,3.35E-10,123389.8373,0,65653.1924,0,4.939446423,4.939446423
45,45,40,0,0.555,1,0,1,1,0,1,0,0,1,0,26.58796438,0,37520.9458,0,0,0,0,81276.8844,0,39771.3792,0,3.299682015,3.299682015
46,46,40,0,0.555,1,0,1,1,0,1,0,0,0,1,27.44938135,0,40218.9144,0,0,0,7.48E-10,91258.2503,0,53994.5338,0,3.636561662,3.636561662
47,47,40,0,0.555,1,0,1,1,0,1,0,0,0,0,27.06296764,0,22354.0463,0,0,0,0,49145.2975,0,28112.7206,0,2.048790491,2.048790491
48,48,40,0,0.555,1,0,1,1,0,0,1,1,1,1,27.03329533,0,78553.2883,0,0,0,4.55E-10,171389.3083,0,102328.7208,0,7.00758856,7.00758856
49,49,40,0,0.555,1,0,1,1,0,0,1,1,1,0,26.77513096,0,60658.3093,0,0,0,2.14E-10,129276.3555,0,76446.9076,0,5.386779263,5.386779263
50,50,40,0,0.555,1,0,1,1,0,0,1,1,0,1,27.28516312,0,63364.1449,0,0,0,5.61E-10,139257.7214,0,90670.0622,0,5.77540737,5.77540737
51,51,40,0,0.555,1,0,1,1,0,0,1,1,0,0,27.05014704,0,45519.0163,0,0,0,0,97144.7686,0,64788.249,0,4.154598073,4.154598073
52,52,40,0,0.555,1,0,1,1,0,0,1,0,1,1,26.88449851,0,65829.3728,0,0,0,5.34E-10,143765.4175,0,79810.2058,0,5.761094695,5.761094695
53,53,40,0,0.555,1,0,1,1,0,0,1,0,1,0,26.46497178,0,47998.6156,0,0,0,0,101652.4647,0,53928.3926,0,4.19944135,4.19944135
54,54,40,0,0.555,1,0,1,1,0,0,1,0,0,1,27.15859421,0,50706.1949,0,0,0,0,111633.8305,0,68151.5472,0,4.528913505,4.528913505
55,55,40,0,0.555,1,0,1,1,0,0,1,0,0,0,26.75661654,0,32822.8819,0,0,0,1.18E-09,69520.8777,0,42269.734,0,2.908104208,2.908104208
56,56,40,0,0.555,1,0,1,1,0,0,0,1,1,1,27.22860399,0,45689.9674,0,0,0,3.25E-10,101868.4306,0,60058.9868,0,4.099484352,4.099484352
57,57,40,0,0.555,1,0,1,1,0,0,0,1,1,0,26.77458482,0,27819.5374,0,0,0,1.32E-09,59755.4778,0,34177.1736,0,2.51127258,2.51127258
58,58,40,0,0.555,1,0,1,1,0,0,0,1,0,1,27.82589615,0,30604.3106,0,0,0,0,69736.8437,0,48400.3282,0,2.867303162,2.867303162
59,59,40,0,0.555,1,0,1,1,0,0,0,1,0,0,27.78624073,0,12772.7549,0,0,0,0,27623.8908,0,22518.515,0,1.246493865,1.246493865
60,60,40,0,0.555,1,0,1,1,0,0,0,0,1,1,26.98542951,0,33032.8246,0,0,0,1.04E-09,74244.5398,0,37540.4718,0,2.890655932,2.890655932
61,61,40,0,0.555,1,0,1,1,0,0,0,0,1,0,25.75342609,0,15194.2112,0,0,0,3.41E-09,32131.587,0,11658.6586,0,1.302272221,1.302272221
62,62,40,0,0.555,1,0,1,1,0,0,0,0,0,1,27.85322193,0,17883.313,0,0,0,0,42112.9528,0,25881.8132,0,1.620809297,1.620809297
63,63,40,0,0.555,1,0,1,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
64,64,40,0,0.555,1,0,1,0,1,1,1,1,1,1,27.73715566,0,79125.4133,0,0,0,7.96E-10,133981.4573,0,21069.7163,0,5.946991863,5.946991863
65,65,40,0,0.555,1,0,1,0,1,1,1,1,1,0,23.09744827,0,66729.9403,0,0,0,0,115190.2605,0,19425.2265,0,5.103022886,5.103022886
66,66,40,0,0.555,1,0,1,0,1,1,1,1,0,1,22.93311215,0,64625.301,0,0,0,0,109859.1402,0,17870.8169,0,4.874645628,4.874645628
67,67,40,0,0.555,1,0,1,0,1,1,1,1,0,0,23.23433371,0,52229.828,0,0,0,5.41E-11,91067.9433,0,16226.327,0,4.030676652,4.030676652
68,68,40,0,0.555,1,0,1,0,1,1,1,0,1,1,22.84420308,0,74562.7264,0,0,0,9.19E-10,125982.049,0,19646.0617,0,5.603438486,5.603438486
69,69,40,0,0.555,1,0,1,0,1,1,1,0,1,0,23.08265309,0,62167.2534,0,0,0,9.49E-10,107190.8522,0,18001.5718,0,4.759469509,4.759469509
70,70,40,0,0.555,1,0,1,0,1,1,1,0,0,1,22.90498785,0,60062.6141,0,0,0,0,101859.7318,0,16447.1622,0,4.531092251,4.531092251
71,71,40,0,0.555,1,0,1,0,1,1,1,0,0,0,23.2282264,0,47667.1411,0,0,0,0,83068.535,0,14802.6724,0,3.687123275,3.687123275
72,72,40,0,0.555,1,0,1,0,1,1,0,1,1,1,22.66013737,0,58306.9916,0,0,0,1.03E-09,97781.0686,0,13248.2097,0,4.332776311,4.332776311
73,73,40,0,0.555,1,0,1,0,1,1,0,1,1,0,22.93875336,0,45911.5186,0,0,0,0,78989.8718,0,11603.7199,0,3.488807334,3.488807334
74,74,40,0,0.555,1,0,1,0,1,1,0,1,0,1,22.68361697,0,43806.8794,0,0,0,7.65E-10,73658.7515,0,10049.3103,0,3.260430076,3.260430076
75,75,40,0,0.555,1,0,1,0,1,1,0,1,0,0,23.0960018,0,31411.4064,0,0,0,0,54867.5547,0,8404.8204,0,2.4164611,2.4164611
76,76,40,0,0.555,1,0,1,0,1,1,0,0,1,1,22.6045007,0,53744.3048,0,0,0,0,89781.6603,0,11824.5551,0,3.989222934,3.989222934
77,77,40,0,0.555,1,0,1,0,1,1,0,0,1,0,22.89867249,0,41348.8318,0,0,0,0,70990.4635,0,10180.0653,0,3.145253957,3.145253957
78,78,40,0,0.555,1,0,1,0,1,1,0,0,0,1,22.61024731,0,39244.1925,0,0,0,0,65659.3432,0,8625.6557,0,2.916876699,2.916876699
79,79,40,0,0.555,1,0,1,0,1,1,0,0,0,0,23.06158233,0,26848.7195,0,0,0,0,46868.1463,0,6981.1658,0,2.072907723,2.072907723
80,80,40,0,0.555,1,0,1,0,1,0,1,1,1,1,22.69147834,0,63674.1019,0,0,0,9.19E-10,105913.8295,0,16361.4316,0,4.721144797,4.721144797
81,81,40,0,0.555,1,0,1,0,1,0,1,1,1,0,22.94816063,0,51278.6289,0,0,0,0,87122.6327,0,14716.9418,0,3.877175821,3.877175821
82,82,40,0,0.555,1,0,1,0,1,0,1,1,0,1,22.72157826,0,49173.9896,0,0,0,1.25E-09,81791.5123,0,13162.5322,0,3.648798563,3.648798563
83,83,40,0,0.555,1,0,1,0,1,0,1,1,0,0,23.08638662,0,36778.5166,0,0,0,0,63000.3155,0,11518.0423,0,2.804829586,2.804829586
84,84,40,0,0.555,1,0,1,0,1,0,1,0,1,1,22.64342175,0,59111.415,0,0,0,0,97914.4212,0,14937.777,0,4.377591421,4.377591421
85,85,40,0,0.555,1,0,1,0,1,0,1,0,1,0,22.9135874,0,46715.942,0,0,0,0,79123.2243,0,13293.2871,0,3.533622444,3.533622444
86,86,40,0,0.555,1,0,1,0,1,0,1,0,0,1,22.66109316,0,44611.3027,0,0,0,1.20E-09,73792.104,0,11738.8775,0,3.305245186,3.305245186
87,87,40,0,0.555,1,0,1,0,1,0,1,0,0,0,23.05626118,0,32215.8297,0,0,0,0,55000.9072,0,10094.3877,0,2.46127621,2.46127621
88,88,40,0,0.555,1,0,1,0,1,0,0,1,1,1,22.30859168,0,42855.6803,0,0,0,1.47E-09,69713.4408,0,8539.925,0,3.106929245,3.106929245
89,89,40,0,0.555,1,0,1,0,1,0,0,1,1,0,22.59996025,0,30460.2072,0,0,0,2.32E-09,50922.244,0,6895.4352,0,2.262960269,2.262960269
90,90,40,0,0.555,1,0,1,0,1,0,0,1,0,1,22.16232443,0,28355.568,0,0,0,1.49E-09,45591.1237,0,5341.0256,0,2.034583011,2.034583011
91,91,40,0,0.555,1,0,1,0,1,0,0,1,0,0,22.60990882,0,15960.095,0,0,0,0,26799.9268,0,3696.5357,0,1.190614034,1.190614034
92,92,40,0,0.555,1,0,1,0,1,0,0,0,1,1,22.18517885,0,38292.9934,0,0,0,1.76E-09,61714.0325,0,7116.2704,0,2.763375869,2.763375869
93,93,40,0,0.555,1,0,1,0,1,0,0,0,1,0,22.47346091,0,25897.5204,0,0,0,0,42922.8357,0,5471.7806,0,1.919406892,1.919406892
94,94,40,0,0.555,1,0,1,0,1,0,0,0,0,1,21.93176982,0,23792.8811,0,0,0,0,37591.7153,0,3917.371,0,1.691029634,1.691029634
95,95,40,0,0.555,1,0,1,0,1,0,0,0,0,0,22.32641208,0,11397.4081,0,0,0,5.60E-09,18800.5185,0,2272.8811,0,0.847060658,0.847060658
96,96,40,0,0.555,1,0,1,0,0,1,1,1,1,1,22.96102254,0,67728.0051,0,0,0,5.52E-10,115180.9388,0,18796.8352,0,5.099931205,5.099931205
97,97,40,0,0.555,1,0,1,0,0,1,1,1,1,0,23.25152186,0,55332.5321,0,0,0,0,96389.742,0,17152.3453,0,4.255962228,4.255962228
98,98,40,0,0.555,1,0,1,0,0,1,1,1,0,1,23.06057362,0,53227.8929,0,0,0,1.16E-09,91058.6217,0,15597.9357,0,4.02758497,4.02758497
99,99,40,0,0.555,1,0,1,0,0,1,1,1,0,0,23.47768832,0,40832.4199,0,0,0,0,72267.4248,0,13953.4459,0,3.183615994,3.183615994
100,100,40,0,0.555,1,0,1,0,0,1,1,0,1,1,22.93631079,0,63165.3183,0,0,0,6.04E-10,107181.5305,0,17373.1806,0,4.756377828,4.756377828
101,101,40,0,0.555,1,0,1,0,0,1,1,0,1,0,23.24731931,0,50769.8453,0,0,0,0,88390.3337,0,15728.6907,0,3.912408852,3.912408852
102,102,40,0,0.555,1,0,1,0,0,1,1,0,0,1,23.03805184,0,48665.206,0,0,0,1.29E-09,83059.2133,0,14174.2811,0,3.684031594,3.684031594
103,103,40,0,0.555,1,0,1,0,0,1,1,0,0,0,23.49993176,0,36269.733,0,0,0,1.82E-09,64268.0165,0,12529.7913,0,2.840062617,2.840062617
104,104,40,0,0.555,1,0,1,0,0,1,0,1,1,1,22.74083445,0,46909.5835,0,0,0,1.31E-09,78980.5501,0,10975.3286,0,3.485715653,3.485715653
105,105,40,0,0.555,1,0,1,0,0,1,0,1,1,0,23.13586838,0,34514.1105,0,0,0,1.59E-09,60189.3533,0,9330.8388,0,2.641746677,2.641746677
106,106,40,0,0.555,1,0,1,0,0,1,0,1,0,1,22.80842421,0,32409.4713,0,0,0,1.22E-09,54858.233,0,7776.4292,0,2.413369419,2.413369419
107,107,40,0,0.555,1,0,1,0,0,1,0,1,0,0,23.51584529,0,20013.9982,0,0,0,2.34E-09,36067.0361,0,6131.9393,0,1.569400442,1.569400442
108,108,40,0,0.555,1,0,1,0,0,1,0,0,1,1,22.67918019,0,42346.8967,0,0,0,0,70981.1418,0,9551.674,0,3.142162276,3.142162276
109,109,40,0,0.555,1,0,1,0,0,1,0,0,1,0,23.11103376,0,29951.4237,0,0,0,0,52189.945,0,7907.1841,0,2.2981933,2.2981933
110,110,40,0,0.555,1,0,1,0,0,1,0,0,0,1,22.72608502,0,27846.7844,0,0,0,0,46858.8247,0,6352.7745,0,2.069816042,2.069816042
111,111,40,0,0.555,1,0,1,0,0,1,0,0,0,0,23.57884506,0,15451.3114,0,0,0,3.56E-09,28067.6278,0,4708.2847,0,1.225847065,1.225847065
112,112,40,0,0.555,1,0,1,0,0,0,1,1,1,1,22.7706327,0,52276.6938,0,0,0,1.41E-10,87113.311,0,14088.5505,0,3.87408414,3.87408414
113,113,40,0,0.555,1,0,1,0,0,0,1,1,1,0,23.12168478,0,39881.2208,0,0,0,0,68322.1142,0,12444.0606,0,3.030115163,3.030115163
114,114,40,0,0.555,1,0,1,0,0,0,1,1,0,1,22.83994104,0,37776.5815,0,0,0,0,62990.9938,0,10889.651,0,2.801737905,2.801737905
115,115,40,0,0.555,1,0,1,0,0,0,1,1,0,0,23.41543864,0,25381.1085,0,0,0,0,44199.797,0,9245.1612,0,1.957768929,1.957768929
116,116,40,0,0.555,1,0,1,0,0,0,1,0,1,1,22.71889469,0,47714.0069,0,0,0,5.94E-11,79113.9027,0,12664.8958,0,3.530530763,3.530530763
117,117,40,0,0.555,1,0,1,0,0,0,1,0,1,0,23.09874047,0,35318.5339,0,0,0,2.87E-10,60322.7058,0,11020.406,0,2.686561786,2.686561786
118,118,40,0,0.555,1,0,1,0,0,0,1,0,0,1,22.77544239,0,33213.8946,0,0,0,0,54991.5855,0,9465.9964,0,2.458184528,2.458184528
119,119,40,0,0.555,1,0,1,0,0,0,1,0,0,0,23.4408338,0,20818.4216,0,0,0,0,36200.3887,0,7821.5066,0,1.614215552,1.614215552
120,120,40,0,0.555,1,0,1,0,0,0,0,1,1,1,22.30202623,0,31458.2721,0,0,0,5.84E-10,50912.9223,0,6267.0439,0,2.259868588,2.259868588
121,121,40,0,0.555,1,0,1,0,0,0,0,1,1,0,22.76227955,0,19062.7991,0,0,0,3.82E-09,32121.7255,0,4622.5541,0,1.415899611,1.415899611
122,122,40,0,0.555,1,0,1,0,0,0,0,1,0,1,22.04843651,0,16958.1599,0,0,0,0,26790.6051,0,3068.1444,0,1.187522353,1.187522353
123,123,40,0,0.555,1,0,1,0,0,0,0,1,0,0,23.29839396,0,4562.6869,0,0,0,1.33E-09,7999.4083,0,1423.6546,0,0.343553377,0.343553377
124,124,40,0,0.555,1,0,1,0,0,0,0,0,1,1,22.12383957,0,26895.5853,0,0,0,7.72E-10,42913.514,0,4843.3893,0,1.916315211,1.916315211
125,125,40,0,0.555,1,0,1,0,0,0,0,0,1,0,22.58893118,0,14500.1123,0,0,0,0,24122.3172,0,3198.8994,0,1.072346235,1.072346235
126,126,40,0,0.555,1,0,1,0,0,0,0,0,0,1,21.54825469,0,12395.473,0,0,0,0,18791.1968,0,1644.4898,0,0.843968976,0.843968976
127,127,40,0,0.555,1,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
128,128,40,0,0.555,1,0,0,1,1,1,1,1,1,1,39.78745169,0,42504.47,0,0,0,0,124088.2712,0,133015.7486,0,5.133572142,5.133572142
129,129,40,0,0.555,1,0,0,1,1,1,1,1,1,0,30.90604991,0,36925.3482,0,0,0,0,100766.5152,0,108778.4252,0,4.317072051,4.317072051
130,130,40,0,0.555,1,0,0,1,1,1,1,1,0,1,31.04287374,0,41828.3489,0,0,0,6.97E-10,116079.0014,0,124555.9894,0,4.901802107,4.901802107
131,131,40,0,0.555,1,0,0,1,1,1,1,1,0,0,30.29600027,0,36249.2271,0,0,0,9.77E-10,92757.2454,0,100318.6661,0,4.085302016,4.085302016
132,132,40,0,0.555,1,0,0,1,1,1,1,0,1,1,31.90295556,0,34199.779,0,0,0,4.09E-10,104463.7887,0,111920.8882,0,4.207781864,4.207781864
133,133,40,0,0.555,1,0,0,1,1,1,1,0,1,0,31.23366119,0,28620.6572,0,0,0,1.06E-10,81142.0327,0,87683.5649,0,3.391281773,3.391281773
134,134,40,0,0.555,1,0,0,1,1,1,1,0,0,1,31.34706484,0,33523.6579,0,0,0,0,96454.5188,0,103461.1291,0,3.976011829,3.976011829
135,135,40,0,0.555,1,0,0,1,1,1,1,0,0,0,30.47684682,0,27944.5362,0,0,0,0,73132.7629,0,79223.8057,0,3.159511738,3.159511738
136,136,40,0,0.555,1,0,0,1,1,1,0,1,1,1,31.87989144,0,30146.3386,0,0,0,0,90767.7821,0,98567.5212,0,3.718709718,3.718709718
137,137,40,0,0.555,1,0,0,1,1,1,0,1,1,0,31.07557667,0,24567.2168,0,0,0,1.12E-09,67446.0262,0,74330.1978,0,2.902209627,2.902209627
138,138,40,0,0.555,1,0,0,1,1,1,0,1,0,1,31.23624651,0,29470.2175,0,0,0,0,82758.5123,0,90107.762,0,3.486939683,3.486939683
139,139,40,0,0.555,1,0,0,1,1,1,0,1,0,0,30.14860652,0,23891.0957,0,0,0,1.59E-09,59436.7563,0,65870.4386,0,2.670439592,2.670439592
140,140,40,0,0.555,1,0,0,1,1,1,0,0,1,1,32.57221553,0,21841.6476,0,0,0,1.52E-10,71143.2996,0,77472.6608,0,2.792919439,2.792919439
141,141,40,0,0.555,1,0,0,1,1,1,0,0,1,0,31.71681397,0,16262.5258,0,0,0,0,47821.5436,0,53235.3374,0,1.976419348,1.976419348
142,142,40,0,0.555,1,0,0,1,1,1,0,0,0,1,31.77072947,0,21165.5266,0,0,0,0,63134.0298,0,69012.9016,0,2.561149404,2.561149404
143,143,40,0,0.555,1,0,0,1,1,1,0,0,0,0,30.40277329,0,15586.4048,0,0,0,1.87E-09,39812.2738,0,44775.5783,0,1.744649313,1.744649313
144,144,40,0,0.555,1,0,0,1,1,0,1,1,1,1,31.43635274,0,35368.9388,0,0,0,1.79E-10,103010.6015,0,109611.3127,0,4.244820543,4.244820543
145,145,40,0,0.555,1,0,0,1,1,0,1,1,1,0,30.64688939,0,29789.8171,0,0,0,0,79688.8455,0,85373.9893,0,3.428320452,3.428320452
146,146,40,0,0.555,1,0,0,1,1,0,1,1,0,1,30.8554214,0,34692.8178,0,0,0,3.51E-10,95001.3317,0,101151.5535,0,4.013050508,4.013050508
147,147,40,0,0.555,1,0,0,1,1,0,1,1,0,0,29.84992287,0,29113.696,0,0,0,0,71679.5757,0,76914.2301,0,3.196550417,3.196550417
148,148,40,0,0.555,1,0,0,1,1,0,1,0,1,1,31.90168558,0,27064.2479,0,0,0,1.47E-09,83386.119,0,88516.4523,0,3.319030265,3.319030265
149,149,40,0,0.555,1,0,0,1,1,0,1,0,1,0,30.99807356,0,21485.1261,0,0,0,0,60064.363,0,64279.1289,0,2.502530174,2.502530174
150,150,40,0,0.555,1,0,0,1,1,0,1,0,0,1,31.1917462,0,26388.1268,0,0,0,0,75376.8492,0,80056.6932,0,3.08726023,3.08726023
151,151,40,0,0.555,1,0,0,1,1,0,1,0,0,0,29.92847937,0,20809.005,0,0,0,0,52055.0932,0,55819.3698,0,2.270760139,2.270760139
152,152,40,0,0.555,1,0,0,1,1,0,0,1,1,1,31.87126737,0,23010.8075,0,0,0,0,69690.1125,0,75163.0852,0,2.829958119,2.829958119
153,153,40,0,0.555,1,0,0,1,1,0,0,1,1,0,30.70438691,0,17431.6857,0,0,0,9.77E-10,46368.3565,0,50925.7618,0,2.013458028,2.013458028
154,154,40,0,0.555,1,0,0,1,1,0,0,1,0,1,31.01170476,0,22334.6864,0,0,0,0,61680.8427,0,66703.3261,0,2.598188084,2.598188084
155,155,40,0,0.555,1,0,0,1,1,0,0,1,0,0,29.26456682,0,16755.5646,0,0,0,3.19E-09,38359.0867,0,42466.0027,0,1.781687993,1.781687993
156,156,40,0,0.555,1,0,0,1,1,0,0,0,1,1,32.86887963,0,14706.1165,0,0,0,2.05E-09,50065.63,0,54068.2249,0,1.90416784,1.90416784
157,157,40,0,0.555,1,0,0,1,1,0,0,0,1,0,31.56254296,0,9162.987,0,0,0,3.18E-09,26743.874,0,29830.9015,0,1.087667749,1.087667749
158,158,40,0,0.555,1,0,0,1,1,0,0,0,0,1,31.70172281,0,14029.9954,0,0,0,4.86E-10,42056.3601,0,45608.4657,0,1.672397805,1.672397805
159,159,40,0,0.555,1,0,0,1,1,0,0,0,0,0,28.87661931,0,8450.8737,0,0,0,1.24E-09,18734.6042,0,21371.1423,0,0.855897714,0.855897714
160,160,40,0,0.555,1,0,0,1,0,1,1,1,1,1,32.05021403,0,34053.5963,0,0,0,4.56E-10,105353.667,0,111644.6063,0,4.277674428,4.277674428
161,161,40,0,0.555,1,0,0,1,0,1,1,1,1,0,31.42195838,0,28474.4745,0,0,0,2.62E-10,82031.911,0,87407.2829,0,3.461174337,3.461174337
