,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,BE_F,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
35,35,20,3.9,700,364,5.366251323,0,223985.0309,0,-15042.8823,-15042.8823,0,316409.8722,0,649044.1531,0,0.043410423,0.043410423
36,36,20,3.9,1200,184,7.979318206,0,207700.5345,0,-15671.5553,-15671.5553,0,316409.8722,0,770131.6469,0,0.043410423,0.043410423
37,37,20,3.9,1200,244,8.340316307,0,203228.4503,0,-15839.1502,-15839.1502,0,316409.8722,0,804300.747,0,0.043410423,0.043410423
38,38,20,3.9,1200,304,8.632039137,0,198756.3661,0,-16009.383,-16009.383,0,316409.8722,0,838469.847,0,0.043410423,0.043410423
39,39,20,3.9,1200,364,8.873592409,0,194240.8116,0,-16181.5262,-16181.5262,0,316409.8722,0,872638.9471,0,0.043410423,0.043410423
40,40,20,3.9,1700,184,9.487052528,0,177718.3147,0,-16886.3423,-16886.3423,0,316409.8722,0,993726.4409,0,0.043410423,0.043410423
41,41,20,3.9,1700,244,9.613122778,0,173180.203,0,-17062.883,-17062.883,0,316409.8722,0,1027895.541,0,0.043410423,0.043410423
42,42,20,3.9,1700,304,9.726189597,0,168587.6771,0,-17239.9188,-17239.9188,0,316409.8722,0,1062064.641,0,0.043410423,0.043410423
43,43,20,3.9,1700,364,11.50051091,0,163980.3118,0,-17353.6958,-17353.6958,0,316409.8722,0,1096233.741,0,0.043410423,0.043410423
44,44,20,3.9,2200,184,11.57376565,0,147137.5486,0,-18079.0823,-18079.0823,0,316409.8722,0,1217321.235,0,0.043410423,0.043410423
45,45,20,3.9,2200,244,11.59244241,0,142458.8125,0,-18259.7125,-18259.7125,0,316409.8722,0,1251490.335,0,0.043410423,0.043410423
46,46,20,3.9,2200,304,11.61112336,0,137780.0765,0,-18440.3425,-18440.3425,0,316409.8722,0,1285659.435,0,0.043410423,0.043410423
47,47,20,3.9,2200,364,11.62981589,0,133058.4819,0,-18620.972,-18620.972,0,316409.8722,0,1319828.535,0,0.043410423,0.043410423
48,48,20,4.6,700,184,2.783015068,0,229938.0184,0,-14916.9063,-14916.9063,0,316409.8722,0,602722.2114,0,0.043410423,0.043410423
49,49,20,4.6,700,244,26.28970539,0,225465.9342,0,-15018.6994,-15018.6994,0,316409.8722,0,636891.3114,0,0.043410423,0.043410423
50,50,20,4.6,700,304,6.121347626,0,220993.85,0,-15152.4687,-15152.4687,0,316409.8722,0,671060.4115,0,0.043410423,0.043410423
51,51,20,4.6,700,364,6.955676324,0,216521.7658,0,-15302.0396,-15302.0396,0,316409.8722,0,705229.5116,0,0.043410423,0.043410423
52,52,20,4.6,1200,184,8.836907058,0,194873.1267,0,-16186.9238,-16186.9238,0,316409.8722,0,866449.4043,0,0.043410423,0.043410423
53,53,20,4.6,1200,244,9.046476525,0,190335.015,0,-16360.2849,-16360.2849,0,316409.8722,0,900618.5044,0,0.043410423,0.043410423
54,54,20,4.6,1200,304,9.226073298,0,185796.9034,0,-16534.7874,-16534.7874,0,316409.8722,0,934787.6044,0,0.043410423,0.043410423
55,55,20,4.6,1200,364,9.382246137,0,181258.7917,0,-16710.1818,-16710.1818,0,316409.8722,0,968956.7045,0,0.043410423,0.043410423
56,56,20,4.6,1700,184,11.52338933,0,159133.361,0,-17585.1688,-17585.1688,0,316409.8722,0,1130176.597,0,0.043410423,0.043410423
57,57,20,4.6,1700,244,11.54204636,0,154525.9956,0,-17765.7997,-17765.7997,0,316409.8722,0,1164345.697,0,0.043410423,0.043410423
58,58,20,4.6,1700,304,11.56070571,0,149886.9737,0,-17946.4305,-17946.4305,0,316409.8722,0,1198514.797,0,0.043410423,0.043410423
59,59,20,4.6,1700,364,11.57937904,0,145208.2377,0,-18127.0608,-18127.0608,0,316409.8722,0,1232683.898,0,0.043410423,0.043410423
60,60,20,4.6,2200,184,11.67599785,0,122390.0194,0,-19079.9012,-19079.9012,0,316409.8722,0,1393903.79,0,0.043410423,0.043410423
61,61,20,4.6,2200,244,11.69471239,0,117564.4109,0,-19260.5299,-19260.5299,0,316409.8722,0,1428072.89,0,0.043410423,0.043410423
62,62,20,4.6,2200,304,11.71343048,0,112738.8024,0,-19441.1585,-19441.1585,0,316409.8722,0,1462241.99,0,0.043410423,0.043410423
63,63,20,4.6,2200,364,11.73215583,0,107891.1567,0,-19621.7868,-19621.7868,0,316409.8722,0,1496411.09,0,0.043410423,0.043410423
64,64,20,5.3,700,184,5.752324025,0,222474.7533,0,-15123.519,-15123.519,0,316409.8722,0,658907.5699,0,0.043410423,0.043410423
65,65,20,5.3,700,244,27.65571727,0,218002.6691,0,-15268.7259,-15268.7259,0,316409.8722,0,693076.6699,0,0.043410423,0.043410423
66,66,20,5.3,700,304,7.367956697,0,213530.5849,0,-15424.6801,-15424.6801,0,316409.8722,0,727245.77,0,0.043410423,0.043410423
67,67,20,5.3,700,364,7.86395811,0,209058.5006,0,-15587.1342,-15587.1342,0,316409.8722,0,761414.8701,0,0.043410423,0.043410423
68,68,20,5.3,1200,184,9.358290161,0,181891.1068,0,-16715.0946,-16715.0946,0,316409.8722,0,962767.1617,0,0.043410423,0.043410423
69,69,20,5.3,1200,244,9.498681432,0,177352.9951,0,-16891.09,-16891.09,0,316409.8722,0,996936.2618,0,0.043410423,0.043410423
70,70,20,5.3,1200,304,9.623471328,0,172814.8835,0,-17067.6795,-17067.6795,0,316409.8722,0,1031105.362,0,0.043410423,0.043410423
71,71,20,5.3,1200,364,9.735478863,0,168216.1459,0,-17244.7557,-17244.7557,0,316409.8722,0,1065274.462,0,0.043410423,0.043410423
72,72,20,5.3,1700,184,11.60229068,0,140287.5936,0,-18358.5325,-18358.5325,0,316409.8722,0,1266626.754,0,0.043410423,0.043410423
73,73,20,5.3,1700,244,11.62097868,0,135605.8494,0,-18539.1622,-18539.1622,0,316409.8722,0,1300795.854,0,0.043410423,0.043410423
74,74,20,5.3,1700,304,11.63967053,0,130854.0413,0,-18719.7918,-18719.7918,0,316409.8722,0,1334964.954,0,0.043410423,0.043410423
75,75,20,5.3,1700,364,11.65837331,0,126102.2332,0,-18900.421,-18900.421,0,316409.8722,0,1369134.054,0,0.043410423,0.043410423
76,76,20,5.3,2200,184,11.77841363,0,96911.0094,0,-20080.7131,-20080.7131,0,316409.8722,0,1570486.346,0,0.043410423,0.043410423
77,77,20,5.3,2200,244,11.79715863,0,91949.6462,0,-20261.3407,-20261.3407,0,316409.8722,0,1604655.446,0,0.043410423,0.043410423
78,78,20,5.3,2200,304,11.81591464,0,86980.2416,0,-20441.9678,-20441.9678,0,316409.8722,0,1638824.546,0,0.043410423,0.043410423
79,79,20,5.3,2200,364,11.83467062,0,81978.5039,0,-20622.5949,-20622.5949,0,316409.8722,0,1672993.646,0,0.043410423,0.043410423
